customer_id,product_id,interaction_type,occurred_at
1257,186,VIEW,2024-08-06 15:16:05
1257,179,VIEW,2024-12-15 04:00:22
1257,185,FAVORITE,2024-12-27 17:28:34
1257,212,VIEW,2025-11-23 13:21:00
1258,193,SEARCH,2024-06-07 16:16:20
1258,209,VIEW,2024-06-10 18:28:57
1258,217,SEARCH,2024-06-11 03:16:28
1258,217,VIEW,2024-06-17 23:31:30
1258,181,FAVORITE,2024-07-19 01:20:41
1258,215,VIEW,2024-08-02 08:13:26
1258,180,FAVORITE,2024-08-22 04:31:03
1258,197,VIEW,2024-09-06 10:16:50
1258,196,ADD_TO_CART,2024-09-08 21:07:47
1258,181,VIEW,2024-09-08 22:46:27
1258,193,VIEW,2024-09-09 05:42:07
1258,181,VIEW,2024-09-10 10:25:45
1258,180,VIEW,2024-09-15 11:19:55
1258,217,VIEW,2024-10-02 01:36:46
1258,187,VIEW,2024-10-03 16:41:43
1258,184,SEARCH,2024-10-06 08:41:27
1258,197,FAVORITE,2024-10-18 03:52:18
1258,217,SEARCH,2024-10-19 16:08:49
1258,181,SEARCH,2024-10-27 03:40:28
1258,195,ADD_TO_CART,2024-11-09 23:37:45
1258,198,VIEW,2024-11-14 23:22:46
1258,181,SEARCH,2024-11-28 12:22:56
1258,180,VIEW,2024-12-09 07:54:01
1258,199,VIEW,2024-12-09 14:31:12
1258,197,SHARE,2024-12-14 03:32:55
1258,179,ADD_TO_CART,2024-12-14 06:18:59
1258,208,VIEW,2024-12-19 10:16:34
1258,197,SHARE,2025-01-21 01:19:53
1258,181,ADD_TO_CART,2025-01-21 01:51:59
1258,197,VIEW,2025-01-25 05:52:03
1258,185,FAVORITE,2025-02-14 19:03:29
1258,181,VIEW,2025-03-09 16:22:37
1258,199,SEARCH,2025-03-11 17:00:17
1258,203,SEARCH,2025-03-21 10:45:22
1258,188,ADD_TO_CART,2025-04-06 09:29:55
1258,217,SEARCH,2025-04-16 21:31:16
1258,183,VIEW,2025-04-18 01:29:08
1258,211,VIEW,2025-04-30 21:03:24
1258,195,SHARE,2025-05-06 00:42:23
1258,199,VIEW,2025-05-18 12:13:38
1258,181,VIEW,2025-06-08 21:18:39
1258,199,FAVORITE,2025-07-03 16:55:33
1258,218,ADD_TO_CART,2025-07-15 15:01:39
1258,213,SEARCH,2025-07-17 19:08:12
1258,197,VIEW,2025-08-19 06:07:44
1258,181,VIEW,2025-08-26 12:11:33
1258,193,VIEW,2025-08-27 14:25:43
1258,197,SEARCH,2025-08-31 01:28:30
1258,188,VIEW,2025-09-11 11:22:48
1258,217,SEARCH,2025-09-21 11:27:59
1258,203,VIEW,2025-09-25 06:09:11
1258,181,VIEW,2025-10-03 15:26:57
1258,217,VIEW,2025-10-12 23:31:22
1258,209,VIEW,2025-10-24 08:59:47
1258,181,VIEW,2025-11-04 06:07:28
1258,180,VIEW,2025-11-23 01:26:36
1258,196,VIEW,2025-11-28 01:05:53
1258,186,VIEW,2025-11-29 23:46:10
1258,196,VIEW,2025-12-23 17:18:10
1258,192,VIEW,2026-01-13 16:25:36
1258,204,VIEW,2026-01-16 17:00:34
1258,196,VIEW,2026-01-25 14:16:23
1258,197,VIEW,2026-01-26 21:46:04
1258,180,VIEW,2026-01-28 21:32:01
1258,199,VIEW,2026-02-25 22:46:21
1258,181,SEARCH,2026-03-10 12:15:19
1258,204,SEARCH,2026-03-26 00:40:15
1258,197,VIEW,2026-03-28 12:33:07
1258,217,VIEW,2026-04-04 12:51:24
1258,213,SEARCH,2026-04-08 19:57:45
1258,179,VIEW,2026-04-24 19:46:20
1258,181,VIEW,2026-05-25 00:47:18
1258,202,VIEW,2026-06-10 13:11:00
1259,193,VIEW,2026-02-25 00:04:53
1259,192,VIEW,2026-02-26 06:22:10
1259,187,VIEW,2026-02-26 13:49:16
1259,197,VIEW,2026-02-27 17:00:20
1259,180,VIEW,2026-03-01 19:26:28
1259,211,VIEW,2026-03-01 20:12:43
1259,188,SHARE,2026-03-03 01:00:00
1259,202,VIEW,2026-03-03 14:27:55
1259,211,VIEW,2026-03-04 02:14:07
1259,198,VIEW,2026-03-04 03:11:43
1259,192,VIEW,2026-03-04 06:21:03
1259,208,VIEW,2026-03-05 23:37:09
1259,182,SEARCH,2026-03-06 00:53:18
1259,182,VIEW,2026-03-06 23:56:37
1259,211,SEARCH,2026-03-07 08:31:48
1259,187,SEARCH,2026-03-07 14:20:26
1259,189,VIEW,2026-03-08 18:19:12
1259,200,VIEW,2026-03-09 08:27:50
1259,212,ADD_TO_CART,2026-03-12 13:06:10
1259,192,ADD_TO_CART,2026-03-13 05:38:37
1259,192,SEARCH,2026-03-13 14:16:08
1259,184,VIEW,2026-03-13 17:20:58
1259,185,VIEW,2026-03-13 23:37:30
1259,194,VIEW,2026-03-15 03:38:04
1259,201,VIEW,2026-03-15 19:03:58
1259,192,VIEW,2026-03-15 20:02:27
1259,217,VIEW,2026-03-16 01:44:23
1259,192,SEARCH,2026-03-17 00:11:58
1259,190,SHARE,2026-03-17 10:40:50
1259,201,VIEW,2026-03-17 13:03:56
1259,183,VIEW,2026-03-18 10:23:27
1259,205,SHARE,2026-03-18 14:01:31
1259,207,VIEW,2026-03-19 04:24:29
1259,192,VIEW,2026-03-19 05:36:09
1259,192,ADD_TO_CART,2026-03-20 01:02:56
1259,190,VIEW,2026-03-20 05:20:41
1259,188,VIEW,2026-03-20 05:29:33
1259,201,VIEW,2026-03-20 06:58:59
1259,201,VIEW,2026-03-21 05:58:16
1259,189,VIEW,2026-03-21 07:53:43
1259,213,SEARCH,2026-03-22 07:52:25
1259,201,VIEW,2026-03-22 18:31:27
1259,183,VIEW,2026-03-23 19:28:11
1259,184,VIEW,2026-03-24 23:35:10
1259,201,ADD_TO_CART,2026-03-25 10:14:50
1259,216,ADD_TO_CART,2026-03-26 01:00:09
1259,211,VIEW,2026-03-26 14:24:08
1259,212,VIEW,2026-03-27 08:43:02
1259,182,VIEW,2026-03-27 09:31:13
1259,194,VIEW,2026-03-28 13:28:52
1259,202,VIEW,2026-03-30 06:12:38
1259,211,VIEW,2026-03-30 09:57:59
1259,190,VIEW,2026-03-30 19:33:51
1259,200,SHARE,2026-03-31 10:32:03
1259,197,VIEW,2026-04-01 05:30:38
1259,212,SEARCH,2026-04-01 15:19:27
1259,195,FAVORITE,2026-04-02 00:43:27
1259,184,SEARCH,2026-04-02 15:44:02
1259,211,VIEW,2026-04-04 12:28:11
1259,194,VIEW,2026-04-04 15:46:24
1259,192,ADD_TO_CART,2026-04-04 19:27:37
1259,212,VIEW,2026-04-05 22:26:56
1259,192,SEARCH,2026-04-10 04:56:51
1259,192,VIEW,2026-04-12 16:16:40
1259,184,SEARCH,2026-04-14 04:33:41
1259,206,SEARCH,2026-04-14 07:59:55
1259,194,FAVORITE,2026-04-16 03:38:01
1259,211,VIEW,2026-04-17 10:51:00
1260,204,ADD_TO_CART,2025-09-16 08:42:12
1260,205,VIEW,2025-09-21 00:21:11
1260,191,SEARCH,2025-10-17 20:32:22
1260,203,FAVORITE,2025-11-15 09:01:31
1260,193,ADD_TO_CART,2025-12-11 22:20:27
1260,185,SEARCH,2025-12-31 22:06:19
1260,183,VIEW,2026-01-06 09:09:29
1260,192,SEARCH,2026-01-06 13:04:12
1260,204,VIEW,2026-01-06 20:42:26
1260,189,VIEW,2026-01-12 10:05:10
1260,216,FAVORITE,2026-01-20 04:17:53
1260,205,VIEW,2026-01-23 21:55:36
1260,209,VIEW,2026-01-23 23:07:59
1260,216,VIEW,2026-02-11 06:40:45
1260,192,SEARCH,2026-02-25 08:19:31
1260,186,VIEW,2026-03-16 15:17:24
1260,187,ADD_TO_CART,2026-03-27 12:55:34
1260,180,VIEW,2026-03-31 09:44:09
1260,199,VIEW,2026-04-02 09:05:48
1260,204,VIEW,2026-04-04 15:44:19
1260,181,SEARCH,2026-04-05 09:57:42
1260,183,VIEW,2026-04-14 07:57:38
1260,210,SEARCH,2026-04-16 18:10:49
1260,209,VIEW,2026-05-02 18:34:05
1260,181,VIEW,2026-05-03 06:23:57
1260,188,VIEW,2026-05-17 06:56:34
1260,186,SEARCH,2026-06-01 04:12:07
1260,180,SEARCH,2026-06-01 20:04:09
1260,210,VIEW,2026-06-06 04:43:48
1260,203,VIEW,2026-06-10 15:38:35
1260,205,VIEW,2026-06-17 05:09:44
1260,189,VIEW,2026-06-19 17:17:04
1260,194,VIEW,2026-07-02 15:01:00
1261,184,SEARCH,2024-11-23 11:34:14
1261,209,SHARE,2024-12-01 07:15:56
1261,181,SEARCH,2024-12-27 23:03:15
1261,182,SHARE,2025-01-23 10:51:08
1261,204,VIEW,2025-01-27 20:15:24
1261,183,VIEW,2025-02-14 20:09:47
1261,196,VIEW,2025-02-24 08:48:16
1261,218,VIEW,2025-02-28 08:40:50
1261,184,VIEW,2025-03-13 17:50:03
1261,205,VIEW,2025-03-17 05:40:11
1261,182,VIEW,2025-04-11 07:57:35
1261,179,ADD_TO_CART,2025-04-30 00:32:26
1261,204,VIEW,2025-07-20 22:08:46
1261,200,SEARCH,2025-07-31 17:37:16
1261,202,VIEW,2025-08-03 02:10:34
1261,202,VIEW,2025-08-05 14:17:22
1261,201,FAVORITE,2025-08-13 14:41:09
1261,182,VIEW,2025-08-13 23:02:59
1261,198,VIEW,2025-08-20 11:15:21
1261,184,VIEW,2025-10-10 08:20:40
1261,211,VIEW,2025-11-01 07:24:02
1261,203,VIEW,2025-11-16 22:44:09
1261,197,ADD_TO_CART,2025-11-19 10:53:51
1261,200,SEARCH,2025-12-14 17:04:36
1261,200,VIEW,2026-01-21 02:31:50
1261,184,VIEW,2026-01-23 01:41:08
1261,184,SEARCH,2026-01-25 13:41:32
1261,190,FAVORITE,2026-01-26 09:03:08
1261,182,ADD_TO_CART,2026-02-03 06:43:36
1261,211,VIEW,2026-02-15 01:30:14
1261,202,VIEW,2026-02-26 12:46:53
1261,183,VIEW,2026-03-19 03:53:08
1261,209,VIEW,2026-03-20 22:32:26
1261,184,VIEW,2026-04-22 11:22:55
1261,180,SEARCH,2026-05-18 19:10:03
1261,202,VIEW,2026-05-22 05:06:44
1261,199,SEARCH,2026-06-23 11:42:00
1262,214,VIEW,2024-02-08 15:02:41
1262,198,ADD_TO_CART,2024-04-20 13:46:49
1262,192,VIEW,2024-06-03 20:21:09
1262,187,VIEW,2024-06-07 08:12:36
1262,192,VIEW,2024-06-28 17:17:58
1262,196,SEARCH,2024-08-14 05:48:31
