product_id,product_name,month,monthly_demand,predicted_demand,residual,absolute_error
179,Silla de ruedas estándar,2026-02-01,17,20.46661882710006,-3.46661882710006,3.46661882710006
180,Silla de ruedas reclinable,2026-02-01,11,15.060843038406471,-4.060843038406471,4.060843038406471
181,Silla de ruedas bariátrica,2026-02-01,1,4.1622025529974795,-3.1622025529974795,3.1622025529974795
182,Andadera plegable aluminio,2026-02-01,43,29.582460777382025,13.417539222617975,13.417539222617975
183,Bastón de cuatro apoyos,2026-02-01,26,8.983681984129733,17.01631801587027,17.01631801587027
184,Muletas axilares ajustables,2026-02-01,30,22.104019833770064,7.895980166229936,7.895980166229936
185,Concentrador de oxígeno 5 L,2026-02-01,0,3.476384578658693,-3.476384578658693,3.476384578658693
186,Concentrador de oxígeno portátil,2026-02-01,8,4.355492943682428,3.644507056317572,3.644507056317572
187,Tanque de oxígeno 682 L,2026-02-01,13,11.059052903409233,1.940947096590767,1.940947096590767
188,Nebulizador compresor,2026-02-01,23,24.280322732177588,-1.2803227321775879,1.2803227321775879
189,Cama hospitalaria manual,2026-02-01,0,2.1570867023647606,-2.1570867023647606,2.1570867023647606
190,Cama hospitalaria eléctrica,2026-02-01,0,2.0055122329254536,-2.0055122329254536,2.0055122329254536
191,Colchón antiescaras,2026-02-01,40,13.353525818677284,26.646474181322716,26.646474181322716
192,Grúa para traslado de pacientes,2026-02-01,0,7.158535125109411,-7.158535125109411,7.158535125109411
193,Baño portátil con ruedas,2026-02-01,27,17.489682095853226,9.510317904146774,9.510317904146774
194,Banco para regadera,2026-02-01,17,34.363098097904114,-17.363098097904114,17.363098097904114
195,Faja lumbar ortopédica,2026-02-01,27,21.768737759406132,5.231262240593868,5.231262240593868
196,Rodillera estabilizadora,2026-02-01,12,25.052704975700546,-13.052704975700546,13.052704975700546
197,Silla de transporte ultraligera,2026-02-01,27,18.112954229568004,8.887045770431996,8.887045770431996
198,Silla de ruedas infantil,2026-02-01,14,11.267292014088977,2.7327079859110235,2.7327079859110235
199,Scooter de movilidad compacto,2026-02-01,0,4.938870324676254,-4.938870324676254,4.938870324676254
200,Andadera con asiento y ruedas,2026-02-01,26,17.616127506662682,8.383872493337318,8.383872493337318
201,Andadera pediátrica ajustable,2026-02-01,18,16.342865400843447,1.657134599156553,1.657134599156553
202,Bastón plegable de aluminio,2026-02-01,6,13.832880988872567,-7.832880988872567,7.832880988872567
203,Oxímetro de pulso digital,2026-02-01,32,24.444169767982515,7.555830232017485,7.555830232017485
204,Regulador para tanque de oxígeno,2026-02-01,34,32.642240848378854,1.3577591516211456,1.3577591516211456
205,Cilindro de oxígeno 9500 L,2026-02-01,1,2.8046142174435698,-1.8046142174435698,1.8046142174435698
206,Aspirador de secreciones portátil,2026-02-01,12,10.554413353233222,1.4455866467667775,1.4455866467667775
207,CPAP automático con humidificador,2026-02-01,0,7.320998965573368,-7.320998965573368,7.320998965573368
208,BiPAP domiciliario,2026-02-01,0,3.096194748840695,-3.096194748840695,3.096194748840695
209,Mesa puente para cama hospitalaria,2026-02-01,20,22.810229964602424,-2.8102299646024242,2.8102299646024242
210,Barandal abatible para cama,2026-02-01,35,20.988782163929763,14.011217836070237,14.011217836070237
211,Cojín antiescaras de gel,2026-02-01,32,18.63054782246882,13.36945217753118,13.36945217753118
212,Elevador hidráulico de paciente,2026-02-01,0,2.9918261900404444,-2.9918261900404444,2.9918261900404444
213,Silla cómoda sanitaria,2026-02-01,34,32.286338648069076,1.7136613519309236,1.7136613519309236
214,Barra de apoyo para baño,2026-02-01,26,16.39562087970194,9.60437912029806,9.60437912029806
215,Collarín cervical semirrígido,2026-02-01,23,21.459829508245154,1.5401704917548464,1.5401704917548464
216,Tobillera estabilizadora,2026-02-01,34,17.49994755797471,16.50005244202529,16.50005244202529
217,Muñequera con férula palmar,2026-02-01,16,17.015974903907672,-1.0159749039076722,1.0159749039076722
218,Compresero eléctrico terapéutico,2026-02-01,28,14.534127989369338,13.465872010630662,13.465872010630662
179,Silla de ruedas estándar,2026-03-01,18,14.282513936972553,3.7174860630274473,3.7174860630274473
180,Silla de ruedas reclinable,2026-03-01,16,12.927099356706027,3.0729006432939734,3.0729006432939734
181,Silla de ruedas bariátrica,2026-03-01,0,2.908440512372751,-2.908440512372751,2.908440512372751
182,Andadera plegable aluminio,2026-03-01,34,29.947162761339218,4.052837238660782,4.052837238660782
183,Bastón de cuatro apoyos,2026-03-01,23,20.314843741537604,2.6851562584623956,2.6851562584623956
184,Muletas axilares ajustables,2026-03-01,33,29.582101125835504,3.4178988741644964,3.4178988741644964
185,Concentrador de oxígeno 5 L,2026-03-01,1,1.870507476426572,-0.8705074764265719,0.8705074764265719
186,Concentrador de oxígeno portátil,2026-03-01,2,8.647734235843819,-6.647734235843819,6.647734235843819
187,Tanque de oxígeno 682 L,2026-03-01,6,15.138811348870284,-9.138811348870284,9.138811348870284
188,Nebulizador compresor,2026-03-01,26,22.337659979218977,3.6623400207810235,3.6623400207810235
189,Cama hospitalaria manual,2026-03-01,2,2.423441525234788,-0.42344152523478806,0.42344152523478806
190,Cama hospitalaria eléctrica,2026-03-01,0,3.3924491737120612,-3.3924491737120612,3.3924491737120612
191,Colchón antiescaras,2026-03-01,25,28.429040600872863,-3.429040600872863,3.429040600872863
192,Grúa para traslado de pacientes,2026-03-01,0,1.4444930159870664,-1.4444930159870664,1.4444930159870664
193,Baño portátil con ruedas,2026-03-01,26,22.29236969242826,3.7076303075717405,3.7076303075717405
194,Banco para regadera,2026-03-01,25,18.29812403985223,6.70187596014777,6.70187596014777
195,Faja lumbar ortopédica,2026-03-01,24,24.06732781124724,-0.06732781124723886,0.06732781124723886
196,Rodillera estabilizadora,2026-03-01,39,12.71323451360061,26.28676548639939,26.28676548639939
197,Silla de transporte ultraligera,2026-03-01,22,22.15751801361148,-0.15751801361147955,0.15751801361147955
